Ã—	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
2	15.2	11.4	9.1	7.6	6.5	5.7	5.1	4.6	4.2	3.8	3.5	3.3	3.1	2.9	2.7
3	29.9	22.6	18.2	15.2	13.0	11.4	10.2	9.1	8.3	7.6	7.0	6.5	6.1	5.7	5.4
4	43.6	33.4	27.0	22.6	19.5	17.1	15.2	13.7	12.5	11.4	10.5	9.8	9.1	8.6	8.1
5	56.1	43.6	35.5	29.9	25.8	22.6	20.2	18.2	16.6	15.2	14.0	13.0	12.2	11.4	10.8
6	67.4	53.1	43.6	36.9	31.9	28.1	25.1	22.6	20.6	18.9	17.5	16.3	15.2	14.3	13.4
7	77.3	61.9	51.3	43.6	37.8	33.4	29.9	27.0	24.6	22.6	20.9	19.5	18.2	17.1	16.1
8	86.1	70.0	58.5	50.0	43.6	38.6	34.6	31.3	28.6	26.3	24.3	22.6	21.1	19.9	18.7
9	93.7	77.3	65.2	56.1	49.1	43.6	39.1	35.5	32.4	29.9	27.7	25.8	24.1	22.6	21.3
10	100.4	84.0	71.5	61.9	54.4	48.5	43.6	39.6	36.2	33.4	31.0	28.8	27.0	25.4	23.9
11	106.3	90.0	77.3	67.4	59.5	53.1	47.9	43.6	40.0	36.9	34.2	31.9	29.9	28.1	26.5
12	111.4	95.5	82.7	72.5	64.3	57.6	52.1	47.5	43.6	40.3	37.4	34.9	32.7	30.8	29.0
13	116.0	100.4	87.7	77.3	68.9	61.9	56.1	51.3	47.1	43.6	40.5	37.8	35.5	33.4	31.5
14	120.0	104.9	92.2	81.8	73.2	66.0	60.0	54.9	50.6	46.9	43.6	40.8	38.2	36.0	34.0
15	123.6	108.9	96.5	86.1	77.3	70.0	63.8	58.5	54.0	50.0	46.6	43.6	40.9	38.6	36.5
16	126.9	112.6	100.4	90.0	81.2	73.7	67.4	61.9	57.2	53.1	49.6	46.4	43.6	41.1	38.9
